Place name,Month,Year,Station number,Rentals,Returns,,,,,,,
Arthur Street / Chichester Street,April,2016,3929,621,675,,,,,,,
Bankmore Square / Dublin Road,April,2016,3918,576,554,,,,,,,
Botanic Avenue / Shaftesbury Square,April,2016,3909,766,766,,,,,,,
Bradbury Place,April,2016,3924,601,534,,,,,,,
Carrick Hill/St Patricks Church,April,2016,3915,281,215,,,,,,,
Castle Place / Royal Avenue,April,2016,3912,641,754,,,,,,,
Cathedral Gardens / York Street,April,2016,3914,388,330,,,,,,,
Central Station / East Bridge Street,April,2016,3930,328,372,,,,,,,
Central Station / Mays Meadow,April,2016,3905,855,830,,,,,,,
City Hall,April,2016,3902,725,734,,,,,,,
College Square East,April,2016,3919,130,116,,,,,,,
Corporation Square,April,2016,3922,599,632,,,,,,,
Cotton Court / Waring Street,April,2016,3926,174,208,,,,,,,
Donegall Quay,April,2016,3904,577,528,,,,,,,
Dunbar Link / Gordon Street,April,2016,3916,222,236,,,,,,,
Europa Bus Station / Blackstaff Square,April,2016,3910,518,577,,,,,,,
Gasworks (Cromac Street),April,2016,3907,631,534,,,,,,,
Gasworks (Lagan Towpath),April,2016,3927,710,747,,,,,,,
Great Victoria Street / Hope Street,April,2016,3911,332,389,,,,,,,
Linenhall Street / Donegall Square South,April,2016,3928,271,238,,,,,,,
Millfield / Divis Street,April,2016,3920,169,148,,,,,,,
North Street / Waring Street,April,2016,3917,176,247,,,,,,,
Odyssey / Sydenham Road,April,2016,3921,859,785,,,,,,,
Queens University / Botanic Gardens ,April,2016,3934,455,485,,,,,,,
Queens University / University Road ,April,2016,3933,704,619,,,,,,,
Royal Avenue / Castlecourt,April,2016,3925,226,262,,,,,,,
Smithfield / Winetavern Street,April,2016,3913,93,87,,,,,,,
St George's Market / Cromac Square,April,2016,3906,251,230,,,,,,,
Titanic Belfast Met,April,2016,3932,774,830,,,,,,,
Victoria Square / Victoria Street,April,2016,3903,352,403,,,,,,,
Waterfront,April,2016,3908,662,652,,,,,,,
Writer's Square / St Anne's Cathedral,April,2016,3931,164,171,,,,,,,
Alfred Street / St Malachy's Church,May,2016,3923,914,895,,,,,,,
Arthur Street / Chichester Street,May,2016,3929,839,926,,,,,,,
Bankmore Square / Dublin Road,May,2016,3918,780,734,,,,,,,
Botanic Avenue / Shaftesbury Square,May,2016,3909,885,888,,,,,,,
Bradbury Place,May,2016,3924,698,603,,,,,,,
Carrick Hill/St Patricks Church,May,2016,3915,366,309,,,,,,,
Castle Place / Royal Avenue,May,2016,3912,800,923,,,,,,,
Cathedral Gardens / York Street,May,2016,3914,470,375,,,,,,,
Central Station / East Bridge Street,May,2016,3930,432,388,,,,,,,
Central Station / Mays Meadow,May,2016,3905,962,1033,,,,,,,
City Hall,May,2016,3902,941,871,,,,,,,
College Square East,May,2016,3919,184,167,,,,,,,
Corporation Square,May,2016,3922,748,774,,,,,,,
Cotton Court / Waring Street,May,2016,3926,259,256,,,,,,,
Donegall Quay,May,2016,3904,952,918,,,,,,,
Dunbar Link / Gordon Street,May,2016,3916,252,276,,,,,,,
Europa Bus Station / Blackstaff Square,May,2016,3910,590,675,,,,,,,
Gasworks (Cromac Street),May,2016,3907,775,710,,,,,,,
Gasworks (Lagan Towpath),May,2016,3927,841,847,,,,,,,
Great Victoria Street / Hope Street,May,2016,3911,451,463,,,,,,,
Linenhall Street / Donegall Square South,May,2016,3928,434,395,,,,,,,
Millfield / Divis Street,May,2016,3920,229,190,,,,,,,
North Street / Waring Street,May,2016,3917,278,296,,,,,,,
Odyssey / Sydenham Road,May,2016,3921,1184,1157,,,,,,,
Queens University / Botanic Gardens ,May,2016,3934,868,965,,,,,,,
Queens University / University Road ,May,2016,3933,893,869,,,,,,,
